ИНДЕКС;№ ВЕРХ;№ НИЗ;Поставщик;Категория;Группа;Наименование НИЗ;Доп. описание;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;Дата доставки;Упаковочный;Ящик;Вес;Длина;Ширина;Высота
73;;;;Bollfilter;Вспомогательное оборудование;Шпилька резьбовая;Арт. 2010638 шпилька DIN 939 М16х40 А4-70;–;–;шт.;4; € -   ; € -   ; € -   ; € -   ;;;;;;;
74;;;;Bollfilter;Вспомогательное оборудование;Шестигранная гайка;Арт. 2110019 гайка шестигранная нормальная ГОСТ ISO 4032-М16-А4-70;–;–;шт.;4; € -   ; € -   ; € -   ; € -   ;;;;;;;
75;;;;Bollfilter;Вспомогательное оборудование;Запорная пробка с уплотнением;Арт. 2013154 VSU 16-42, производитель - AVIT;–;–;шт.;2; € -   ; € -   ; € -   ; € -   ;;;;;;;
76;;;;Bollfilter;Вспомогательное оборудование;Уплотнительное кольцо;Арт. 3030073 355,19x3,53 VA179 2-280, производитель - Parker;–;–;шт.;4; € -   ; € -   ; € -   ; € -   ;;;;;;;
77;;;;Bollfilter;Вспомогательное оборудование;Шпилька резьбовая;Арт. 2009088 шпилька DIN 939 М16х35 5.6;–;–;шт.;4; € -   ; € -   ; € -   ; € -   ;;;;;;;
78;;;;Bollfilter;Вспомогательное оборудование;Шестигранная гайка;Арт. 2100007 гайка шестигранная нормальная ГОСТ ISO 4032-М16-8-A2B;–;–;шт.;4; € -   ; € -   ; € -   ; € -   ;;;;;;;
79;;;;Bollfilter;Вспомогательное оборудование;Прокладка;Арт. 3270002 уплотнительное кольцо A14x18 DIN 7603 - Cu ;–;–;шт.;10; € -   ; € -   ; € -   ; € -   ;;;;;;;
80;;;;Bollfilter;Вспомогательное оборудование;Резьбовая заглушка;Арт. 2000187 пробка резьбовая DIN 5586 A G1/4 A 5.6;–;–;шт.;8; € -   ; € -   ; € -   ; € -   ;;;;;;;
81;;;;Bollfilter;Вспомогательное оборудование;Прокладка;Арт. 3270003 уплотнительное кольцо A17x21 DIN 7603 - Cu ;–;–;шт.;4; € -   ; € -   ; € -   ; € -   ;;;;;;;
82;;;;Bollfilter;Вспомогательное оборудование;Резьбовая заглушка;Арт. 2000188 пробка резьбовая DIN 910 G3/8A 5.6;–;–;шт.;4; € -   ; € -   ; € -   ; € -   ;;;;;;;
83;;;;Bollfilter;Вспомогательное оборудование;Уплотнительное кольцо;Арт. 3270006 уплотнительное кольцо A33x39 DIN 7603 - Cu ;–;–;шт.;4; € -   ; € -   ; € -   ; € -   ;;;;;;;
84;;;;Bollfilter;Вспомогательное оборудование;Резьбовая заглушка;Арт. 2000191 пробка резьбовая DIN 910 - G 1 A - 5.6;–;–;шт.;4; € -   ; € -   ; € -   ; € -   ;;;;;;;
;;;;;;;;;;;;;;; € 13 972,10 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
