ИНДЕКС;УН;№ ВЕРХ;№ НИЗ;Поставщик;Категория ВЕРХ;Группа;Наименование ВЕРХ;Наименование НИЗ;Доп. описание;Аналог / гост / чертеж / альт. договор;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;СКЛАД;ДЕФИЦИТ;АКЗЧ;ДЕФ с уч. АКЗЧ;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;НАЛИЧИЕ НА СКЛАДЕ;Статус;ПРИОРИТЕТ ЗАКУПКИ;Дата доставки;Упаковочный;Столбец2;Ящик;Вес;Длина;Ширина;Высота
461;1;R3;1820.1.405;ЗТСР (Х/1820/2021);Малые детали;корпус камеры сгорания, крепление трубки отбора давления;Малые детали;Уплотнение круглого сечения;;шнур ОГНЕЗА диам. 6 мм ТУ 23.14.11-014-92450604-2017;PB0000000702;MBM__HA001G054;м;1;;1;;1; € 12,00 ; € 7,20 ; € 7,50 ; € 4,50 ; Отсутствует ; Не будет поставлено ;1000;;;;;;;;
462;1;R3;1820.1.406;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000018324;MBM__HA001G057;шт.;1;1;0;2;; € 24,00 ; € 24,00 ; € 15,00 ; € 15,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
463;1;R3;1820.1.407;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000001661;MBM__HA003G064;шт.;1;1;0;2;; € 24,00 ; € 24,00 ; € 15,00 ; € 15,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
464;1;R3;1820.1.408;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000025514;MBM__HA005G010;шт.;2;2;0;;; € 756,90 ; € 1 513,80 ; € 473,00 ; € 946,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
465;1;R3;1820.1.409;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка корончатая;;;PB0000025497;MBM__HA005G012;шт.;2;2;0;1;; € 28,80 ; € 57,61 ; € 18,00 ; € 36,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
466;1;R3;1820.1.410;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000000155;MBM__HA001G069;шт.;2;2;0;2;; € 35,20 ; € 70,41 ; € 22,00 ; € 44,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
467;1;R3;1820.1.411;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000001784;MBM__HA001G070;шт.;2;2;0;3;; € 24,00 ; € 48,01 ; € 15,00 ; € 30,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
468;1;R3;1820.1.412;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000001489;MBM__HA001G088;шт.;2;2;0;2;; € 12,80 ; € 25,60 ; € 8,00 ; € 16,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
469;1;R3;1820.1.413;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000001789;MBM__HA001G089;шт.;2;2;0;2;; € 28,80 ; € 57,61 ; € 18,00 ; € 36,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
470;1;R3;1820.1.414;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка шестигранная;;;PB0000000438;MBM__HA001G090;шт.;25;25;0;;; € 14,40 ; € 360,05 ; € 9,00 ; € 225,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
471;1;R3;1820.1.415;ЗТСР (Х/1820/2021);Малые детали;корпус камеры сгорания, под направляющие смесителя;Малые детали;Втулка;;;PB0000233849;-;шт.;8;1;7;;7; € 2 942,78 ; € 23 542,23 ; € 1 839,00 ; € 14 712,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
472;1;R3;1820.1.416;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000027362;MBM__HA001G130;шт.;2;2;0;;; € 296,04 ; € 592,08 ; € 185,00 ; € 370,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
473;1;R3;1820.1.417;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000001533;MBM__HA003G066;шт.;2;2;0;2;; € 8,00 ; € 16,00 ; € 5,00 ; € 10,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
474;1;R3;1820.1.418;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт цилиндрический;;;PB0000005984;MBM__HA001G059;шт.;3;3;0;;; € 105,61 ; € 316,84 ; € 66,00 ; € 198,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
475;1;R3;1820.1.419;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000001786;MBM__HA001G121;шт.;3;3;0;6;; € 40,01 ; € 120,02 ; € 25,00 ; € 75,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
476;1;R3;1820.1.420;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000000211;MBM__HA005G011;шт.;4;4;0;3;; € 4,80 ; € 19,20 ; € 3,00 ; € 12,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
477;1;R3;1820.1.421;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шплинт;;Шплинт 6,3x71 ГОСТ 397-97;PB0000000540;MBM__HA005G013;шт.;4;4;0;2;; € 1,60 ; € 6,40 ; € 1,00 ; € 4,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
478;1;R3;1820.1.422;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000001153;MBM__HA006G016;шт.;4;4;0;4;; € 46,41 ; € 185,62 ; € 29,00 ; € 116,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
479;1;R3;1820.1.423;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000002642;MBM__HA001G095;шт.;4;4;0;;; € 73,61 ; € 294,44 ; € 46,00 ; € 184,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
480;1;R3;1820.1.424;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шпилька;;;PB0000002028;MBM__HA006G017;шт.;5;5;0;5;; € 22,40 ; € 112,01 ; € 14,00 ; € 70,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
481;1;R3;1820.1.425;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шпилька;;;PB0000001946;MBM__HA001G112;шт.;7;7;0;8;; € 36,80 ; € 257,63 ; € 23,00 ; € 161,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
482;1;R3;1820.1.426;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка колпачковая;;;PB0000000658;MBM__HA006G018;шт.;12;12;0;5;; € 32,00 ; € 384,05 ; € 20,00 ; € 240,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
483;1;R3;1820.1.427;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Планка;;;PB0000000713;MBM__HA005G014;шт.;16;16;0;;; € 105,61 ; € 1 689,82 ; € 66,00 ; € 1 056,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
484;1;R3;1820.1.428;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Палец;;;PB0000006255;MBM__HA005G015;шт.;16;16;0;;; € 147,22 ; € 2 355,50 ; € 92,00 ; € 1 472,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
485;1;R3;1820.1.429;ЗТСР (Х/1820/2021);Малые детали;корпус камеры сгорания, под направляющие смесителя;Малые детали;Кольцо уплотнительное;;A10 147x5 Kempchen;PB0000001158;MBM__HA001G115;шт.;16;8;8;8;0; € 52,81 ; € 844,91 ; € 33,00 ; € 528,00 ; Отсутствует ; Ожидается ;500;;;;;;;;
486;1;R3;1820.1.430;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Планка;;;PB0000000331;-;шт.;16;16;0;;; € 52,81 ; € 844,91 ; € 33,00 ; € 528,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
487;1;R3;1820.1.431;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Планка;;;PB0000000332;-;шт.;16;16;0;;; € 52,81 ; € 844,91 ; € 33,00 ; € 528,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
488;1;R3;1820.1.432;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000001701;MBM__HA003G008;шт.;18;18;0;20;; € 147,22 ; € 2 649,94 ; € 92,00 ; € 1 656,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
489;1;R3;1820.1.433;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000006750;MBM__HA003G013;шт.;18;18;0;10;; € 17,60 ; € 316,84 ; € 11,00 ; € 198,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
490;1;R3;1820.1.434;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пружина тарельчатая;;;PB0000001152;MBM__HA006G014;шт.;20;20;0;5;; € 105,61 ; € 2 112,27 ; € 66,00 ; € 1 320,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
491;1;R3;1820.1.435;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шпилька;;;PB0000001947;MBM__HA003G011;шт.;20;20;0;10;; € 14,40 ; € 288,04 ; € 9,00 ; € 180,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
492;1;R3;1820.1.436;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Держатель;;;PB0000032306;MBM__HA005G023;шт.;36;36;0;144;; € 33,60 ; € 1 209,76 ; € 21,00 ; € 756,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
493;1;R3;1820.1.437;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000002239;MBM__HA005G006;шт.;48;48;0;96;; € 6,40 ; € 307,24 ; € 4,00 ; € 192,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
494;1;R3;1820.1.438;ЗТСР (Х/1820/2021);Малые детали;днище пламенной трубы, крепёж вставки горелки;Малые детали;Гайка корончатая;;DIN935 - M16 - 5-2;PB0000000357;MBM__HA005G007;шт.;48;21;27;12;15; € 4,80 ; € 230,43 ; € 3,00 ; € 144,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
495;1;R3;1820.1.439;ЗТСР (Х/1820/2021);Малые детали;днище пламенной трубы, крепёж вставки горелки;Малые детали;Шплинт;;Шплинт 4x40 ГОСТ 397-97;PB0000000358;MBM__HA005G008;шт.;60;48;12;48;-36; € 1,60 ; € 96,01 ; € 1,00 ; € 60,00 ; Отсутствует ; Не будет поставлено ;1000;;;;;;;;
496;1;R3;1820.1.440;ЗТСР (Х/1820/2021);Малые детали;днище пламенной трубы, крепёж вставки горелки;Малые детали;Болт;;ТФРС.38200095-02;PB0000016406;MBM__HA005G024;шт.;144;36;108;36;72; € 17,60 ; € 2 534,73 ; € 11,00 ; € 1 584,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
497;1;R3;1820.1.441;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пробка резьбовая;;;PB0000044006;MBM__HA009G003;шт.;1;1;0;;; € 40,01 ; € 40,01 ; € 25,00 ; € 25,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
498;1;R3;1820.1.442;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000002184;MBM__HA001G075;шт.;2;2;0;;; € 524,87 ; € 1 049,74 ; € 328,00 ; € 656,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
499;1;R3;1820.1.443;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Диск;;;PB0000009082;MBM__HA009G005;шт.;6;6;0;;; € 116,82 ; € 700,89 ; € 73,00 ; € 438,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
500;1;R3;1820.1.444;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Диск;;;PB0000009081;MBM__HA009G006;шт.;6;6;0;;; € 126,42 ; € 758,50 ; € 79,00 ; € 474,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
501;1;R3;1820.1.445;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000020501;MBM__HA009G015;шт.;2;2;0;;; € 8,00 ; € 16,00 ; € 5,00 ; € 10,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
502;1;R3;1820.1.446;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Палец резьбовой;;;PB0000023992;MBM__HA010G010;шт.;3;3;0;;; € 8,00 ; € 24,00 ; € 5,00 ; € 15,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
503;1;R3;1820.1.447;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000009083;MBM__HA009G004;шт.;8;8;0;8;; € 38,40 ; € 307,24 ; € 24,00 ; € 192,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
504;1;R3;1820.1.448;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Стекло;;;PB0000009079;MBM__HA009G008;шт.;12;12;0;8;; € 136,02 ; € 1 632,21 ; € 85,00 ; € 1 020,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
505;1;R3;1820.1.449;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000009077;MBM__HA009G012;шт.;4;4;0;;; € 36,80 ; € 147,22 ; € 23,00 ; € 92,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
506;1;R3;1820.1.450;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт;;;PB0000002019;MBM__HA009G016;шт.;4;4;0;2;; € 17,60 ; € 70,41 ; € 11,00 ; € 44,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
507;1;R3;1820.1.451;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000009089;MBM__HA010G017;шт.;5;5;0;5;; € 3,20 ; € 16,00 ; € 2,00 ; € 10,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
508;1;R3;1820.1.452;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000009080;MBM__HA009G007;шт.;24;24;0;24;; € 4,80 ; € 115,21 ; € 3,00 ; € 72,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
509;1;R3;1820.1.453;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000016752;MBM__HA010G018;шт.;12;12;0;;; € 4,80 ; € 57,61 ; € 3,00 ; € 36,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
510;1;R3;1820.1.454;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Винт с цилиндрической головкой;;;PB0000000405;MBM__HA009G010;шт.;48;48;0;23;; € 1,60 ; € 76,81 ; € 1,00 ; € 48,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
511;1;R3;1820.1.455;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000009456;MBM__HA009G014;шт.;48;48;0;48;; € 4,80 ; € 230,43 ; € 3,00 ; € 144,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
512;1;R3;1820.1.456;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000000167;MBM__HA009G018;шт.;16;16;0;26;; € 1,60 ; € 25,60 ; € 1,00 ; € 16,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
513;1;R3;1820.1.457;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка шестигранная;;;PB0000000119;MBM__HA010G011;шт.;16;16;0;10;; € 1,60 ; € 25,60 ; € 1,00 ; € 16,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
514;1;R3;1820.1.458;ЗТСР (Х/1820/2021);Малые детали;корпус камеры сгорания, вертикальный разъём со средним корпусом;Малые детали;Болт;;;PB0000002185;MBM__HA001G076;шт.;48;32;16;;16; € 83,21 ; € 3 994,11 ; € 52,00 ; € 2 496,00 ; Отсутствует ; Ожидается ;500;;;;;;;;
515;1;R3;1820.1.459;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000007280;MBM__HA001G077;шт.;48;48;0;;; € 11,20 ; € 537,67 ; € 7,00 ; € 336,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
516;1;R3;1820.1.460;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пружина тарельчатая;;;PB0000009618;MBM__HA010G014;шт.;120;120;0;;; € 1,60 ; € 192,02 ; € 1,00 ; € 120,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
517;1;R3;1820.1.461;ЗТСР (Х/1820/2021);Малые детали;маслобак;Малые детали;Прокладка;;;PB0000000992;-;шт.;1;;1;;1; € 75,21 ; € 75,21 ; € 47,00 ; € 47,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
518;1;R3;1820.1.462;ЗТСР (Х/1820/2021);Малые детали;маслобак;Малые детали;Прокладка;;;PB0000006175;-;шт.;1;;1;;1; € 107,21 ; € 107,21 ; € 67,00 ; € 67,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
519;1;R3;1820.1.463;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000000989;-;шт.;1;1;0;;; € 75,21 ; € 75,21 ; € 47,00 ; € 47,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
520;1;R3;1820.1.464;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;О-образное уплотнение;;Х/2123/2022;PB0000001029;-;шт.;51;38;13;17;-4; € 4,80 ; € 244,83 ; € 3,00 ; € 153,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
521;1;R3;1820.1.465;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;О-образное уплотнение;;Х/2123/2022;PB0000001041;-;шт.;18;4;14;4;10; € 4,80 ; € 86,41 ; € 3,00 ; € 54,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
522;1;R3;1820.1.466;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;О-образное уплотнение;;Х/2123/2022;PB0000001043;-;шт.;6;;6;;6; € 4,80 ; € 28,80 ; € 3,00 ; € 18,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
523;1;R3;1820.1.467;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;Кольцо уплотнительное DIN7603 - А6х10 - Cu;PB0000000449;-;шт.;2;2;0;;; € 4,80 ; € 9,60 ; € 3,00 ; € 6,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
524;1;R3;1820.1.468;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000044453;-;шт.;2;2;0;;; € 4,80 ; € 9,60 ; € 3,00 ; € 6,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
525;1;R3;1820.1.469;ЗТСР (Х/1820/2021);Малые детали;маслобак;Малые детали;Прокладка;;;PB0000000991;-;шт.;2;;2;;2; € 100,81 ; € 201,63 ; € 63,00 ; € 126,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
526;1;R3;1820.1.470;ЗТСР (Х/1820/2021);Малые детали;маслобак;Малые детали;Прокладка;;;PB0000033431;-;шт.;2;;2;;2; € 17,60 ; € 35,20 ; € 11,00 ; € 22,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
527;1;R3;1820.1.471;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;О-образное уплотнение;;Х/2123/2022;PB0000001069;-;шт.;20;8;12;;12; € 6,40 ; € 128,02 ; € 4,00 ; € 80,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
528;1;R3;1820.1.472;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;О-образное уплотнение;;Х/2123/2022;PB0000001032;-;шт.;10;3;7;;7; € 4,80 ; € 48,01 ; € 3,00 ; € 30,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
529;1;R3;1820.1.473;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;О-образное уплотнение;;Х/2123/2022;PB0000150433;-;шт.;2;;2;;2; € 11,20 ; € 22,40 ; € 7,00 ; € 14,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
530;1;R3;1820.1.474;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;О-образное уплотнение;;;PB0000001042;-;шт.;2;2;0;;; € 3,20 ; € 6,40 ; € 2,00 ; € 4,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
531;1;R3;1820.1.475;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000000016;-;шт.;75;75;0;;; € 1,60 ; € 120,02 ; € 1,00 ; € 75,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
532;1;R3;1820.1.476;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт;;;PB0000000575;-;шт.;2;2;0;;; € 4,80 ; € 9,60 ; € 3,00 ; € 6,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
533;1;R3;1820.1.477;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000008221;MBV__CL001G007;шт.;1;1;0;;; € 16,00 ; € 16,00 ; € 10,00 ; € 10,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
534;1;R3;1820.1.478;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;О-образное уплотнение;;Х/2123/2022;PB0000006933;-;шт.;4;3;1;2;-1; € 6,40 ; € 25,60 ; € 4,00 ; € 16,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
535;1;R3;1820.1.479;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000000020;-;шт.;12;12;0;;; € 4,80 ; € 57,61 ; € 3,00 ; € 36,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
536;1;R3;1820.1.480;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000000982;-;шт.;5;5;0;;; € 6,40 ; € 32,00 ; € 4,00 ; € 20,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
537;1;R3;1820.1.481;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000001028;-;шт.;1;1;0;;; € 4,80 ; € 4,80 ; € 3,00 ; € 3,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
538;1;R3;1820.1.482;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;Х/2123/2022;PB0000006935;-;шт.;19;2;17;;17; € 1,60 ; € 30,40 ; € 1,00 ; € 19,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
539;1;R3;1820.1.483;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;Х/2123/2022;PB0000002767;-;шт.;2;;2;;2; € 3,20 ; € 6,40 ; € 2,00 ; € 4,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
540;1;R3;1820.1.484;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка спирально-навитая;;BURGMANN DN65 PN40 арт. 9594/GA;PB0000008690;-;шт.;4;;4;;4; € 94,41 ; € 377,65 ; € 59,00 ; € 236,00 ; Отсутствует ; Ожидается ;500;;;;;;;;
541;1;R3;1820.1.485;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000000754;-;шт.;5;5;0;;; € 24,00 ; € 120,02 ; € 15,00 ; € 75,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
542;1;R3;1820.1.486;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000009273;MBA__CT001G011;шт.;14;14;0;;; € 6,40 ; € 89,61 ; € 4,00 ; € 56,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
543;1;R3;1820.1.487;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000015756;-;шт.;2;2;0;;; € 40,01 ; € 80,01 ; € 25,00 ; € 50,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
544;1;R3;1820.1.488;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000006059;-;шт.;3;3;0;;; € 43,21 ; € 129,62 ; € 27,00 ; € 81,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
545;1;R3;1820.1.489;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное IBC400PN10х2;;;PB0000009350;MBA__BR020G011;шт.;9;9;0;;; € 59,21 ; € 532,87 ; € 37,00 ; € 333,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
546;1;R3;1820.1.490;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка шестигранная M24;;;PB0000000012;MBA__BR020G010;шт.;15;15;0;;; € 1,60 ; € 24,00 ; € 1,00 ; € 15,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
547;1;R3;1820.1.491;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;Х/2123/2022;PB0000016848;-;шт.;4;;4;;4; € 12,80 ; € 51,21 ; € 8,00 ; € 32,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
548;1;R3;1820.1.492;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;Х/2123/2022;PB0000007729;-;шт.;2;;2;;2; € 3,20 ; € 6,40 ; € 2,00 ; € 4,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
549;1;R3;1820.1.493;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;Х/2123/2022;PB0000007730;-;шт.;2;;2;;2; € 3,20 ; € 6,40 ; € 2,00 ; € 4,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
550;1;R3;1820.1.494;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000008364;-;шт.;2;2;0;2;; € 3,20 ; € 6,40 ; € 2,00 ; € 4,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
551;1;R3;1820.1.495;ЗТСР (Х/1820/2021);Малые детали;маслобак;Малые детали;Уплотнение;;;PB0000038794;-;шт.;3;;3;;3; € 19,20 ; € 57,61 ; € 12,00 ; € 36,00 ; Отсутствует ; Не будет поставлено ;100;;;;;;;;
552;1;R3;1820.1.496;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000009175;MBA__HA001G023;шт.;2;2;0;;; € 20,80 ; € 41,61 ; € 13,00 ; € 26,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
553;1;R3;1820.1.497;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000009310;MBA__HA001G031;шт.;18;18;0;10;; € 105,61 ; € 1 901,04 ; € 66,00 ; € 1 188,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
554;1;R3;1820.1.498;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт цилиндрический;;;PB0000014285;MBA__MK001G005;шт.;4;4;0;;; € 16,00 ; € 64,01 ; € 10,00 ; € 40,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
