ИНДЕКС;УН;№ ВЕРХ;№ НИЗ;Поставщик;Категория ВЕРХ;Группа;Наименование ВЕРХ;Наименование НИЗ;Доп. описание;Аналог / гост / чертеж / альт. договор;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;СКЛАД;ДЕФИЦИТ;АКЗЧ;ДЕФ с уч. АКЗЧ;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;НАЛИЧИЕ НА СКЛАДЕ;Статус;ПРИОРИТЕТ ЗАКУПКИ;Дата доставки;Упаковочный;Столбец2;Ящик;Вес;Длина;Ширина;Высота
262;1;R3;1820.1.206;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт с шестигранной головкой;;;PB0000000046;-;шт.;1;1;0;1;; € 112,01 ; € 112,01 ; € 70,00 ; € 70,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
263;1;R3;1820.1.207;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шпилька;;;PB0000002540;-;шт.;1;1;0;1;; € 128,02 ; € 128,02 ; € 80,00 ; € 80,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
264;1;R3;1820.1.208;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка шестигранная;;;PB0000002207;-;шт.;1;1;0;1;; € 112,01 ; € 112,01 ; € 70,00 ; € 70,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
265;1;R3;1820.1.209;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт цилиндрический;;;PB0000000543;-;шт.;3;3;0;2;; € 20,80 ; € 62,41 ; € 13,00 ; € 39,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
266;1;R3;1820.1.210;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка колпачковая;;;PB0000233492;-;шт.;2;2;0;;; € 128,02 ; € 256,03 ; € 80,00 ; € 160,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
267;1;R3;1820.1.211;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт конический (демонтируется после сборки);;;PB0000001064;-;шт.;2;2;0;1;; € 60,81 ; € 121,62 ; € 38,00 ; € 76,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
268;1;R3;1820.1.212;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт конический (демонтируется после сборки);;;PB0000000745;-;шт.;2;2;0;1;; € 64,01 ; € 128,02 ; € 40,00 ; € 80,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
269;1;R3;1820.1.213;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт с шестигранной головкой;;;PB0000013118;-;шт.;3;3;0;30;; € 3,20 ; € 9,60 ; € 2,00 ; € 6,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
270;1;R3;1820.1.214;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт с шестигранной головкой;;;PB0000002206;-;шт.;3;3;0;8;; € 132,82 ; € 398,45 ; € 83,00 ; € 249,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
271;1;R3;1820.1.215;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт конический с внутренней резьбой;;;PB0000000664;-;шт.;4;4;0;1;; € 33,60 ; € 134,42 ; € 21,00 ; € 84,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
272;1;R3;1820.1.216;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт с шестигранной головкой;;;PB0000000045;-;шт.;5;5;0;7;; € 84,81 ; € 424,05 ; € 53,00 ; € 265,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
273;1;R3;1820.1.217;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пробка резьбовая;;;PB0000005890;-;шт.;12;12;0;16;; € 20,80 ; € 249,63 ; € 13,00 ; € 156,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
