№;Категория;Наименование;Описание;PB;KKS;Ед. изм.;Кол-во НИЗ;Цена
601;Малые детали;Прокладка;уплотнительное кольцо A17x21 DIN 7603 - Cu ;3270003;07603.701.0170.021;шт.;2;
602;Малые детали;Резьбовая заглушка;пробка резьбовая DIN 910 G3/8A 5.8;2000188;00910.504.0380.000;шт.;2;
603;Малые детали;Уплотнительное кольцо;уплотнительное кольцо A33x39 DIN 7603 - Cu ;3270006;07603.701.0330.039;шт.;2;
604;Малые детали;Резьбовая заглушка;пробка резьбовая DIN 910 - G 1 A - 5.8;2000191;00910.504.1000.000;шт.;2;
605;Малые детали;фильтрующий элемент Rexroth 0007 L003 P;;;;шт.;1;
606;Малые детали;фильтроэлемент Hydac 0160 D 025 W/HC;;;;шт.;1;
607;Малые детали;ремонтный комплект Hydac, артикул: 306028;;;;шт.;1;
608;Малые детали;фильтроэлемент Hydac 0110 D 010 BH4HC;;;;шт.;2;
609;Малые детали;ремонтный комплект Hydac, артикул: 01260990;;;;шт.;2;
610;Малые детали;фильтроэлемент Hydac 0330 R 003 ON;;;;шт.;1;
611;Малые детали;ремонтный комплект Hydac, артикул: 00319613;;;;шт.;1;
612;Малые детали;уловитель грязи Hydac, артикул: 01202364;;;;шт.;1;
613;Малые детали;фильтроэлемент Hydac 0060 D 010 BH4HC/-V;;;;шт.;3;
614;Малые детали;ремонтный комплект Hydac, артикул: 00302094;;;;шт.;3;
615;Малые детали;фильтроэлемент Hydac 0060 D 005 BH4HC/-V;;;;шт.;1;
616;Малые детали;Сетка;комплект запасных частей для грязеуловителя Krombach SF319 DN25 поз.3 ;;;шт.;1;
617;Малые детали;Уплотнение;комплект запасных частей для грязеуловителя Krombach SF319 DN25 поз.4;;;шт.;1;
618;Малые детали;Шпилька;комплект запасных частей для грязеуловителя Krombach SF319 DN25 поз.5;;;шт.;2;
619;Малые детали;Гайка;комплект запасных частей для грязеуловителя Krombach SF319 DN25 поз.6;;;шт.;2;
